Date,Country/Region,Confirmed,Recovered,Deaths,Daily New Case,Daily Recovered Case,Daily Death Case
2020-01-22,Malaysia,0,0,0,0,0,0
2020-01-23,Malaysia,0,0,0,0,0,0
2020-01-24,Malaysia,0,0,0,0,0,0
2020-01-25,Malaysia,3,0,0,3,0,0
2020-01-26,Malaysia,4,0,0,1,0,0
2020-01-27,Malaysia,4,0,0,0,0,0
2020-01-28,Malaysia,4,0,0,0,0,0
2020-01-29,Malaysia,7,0,0,3,0,0
2020-01-30,Malaysia,8,0,0,1,0,0
2020-01-31,Malaysia,8,0,0,0,0,0
2020-02-01,Malaysia,8,0,0,0,0,0
2020-02-02,Malaysia,8,0,0,0,0,0
2020-02-03,Malaysia,8,0,0,0,0,0
2020-02-04,Malaysia,10,0,0,2,0,0
2020-02-05,Malaysia,12,0,0,2,0,0
2020-02-06,Malaysia,12,0,0,0,0,0
2020-02-07,Malaysia,12,1,0,0,1,0
2020-02-08,Malaysia,16,1,0,4,0,0
2020-02-09,Malaysia,16,1,0,0,0,0
2020-02-10,Malaysia,18,1,0,2,0,0
2020-02-11,Malaysia,18,3,0,0,2,0
2020-02-12,Malaysia,18,3,0,0,0,0
2020-02-13,Malaysia,19,3,0,1,0,0
2020-02-14,Malaysia,19,3,0,0,0,0
2020-02-15,Malaysia,22,7,0,3,4,0
2020-02-16,Malaysia,22,7,0,0,0,0
2020-02-17,Malaysia,22,7,0,0,0,0
2020-02-18,Malaysia,22,13,0,0,6,0
2020-02-19,Malaysia,22,15,0,0,2,0
2020-02-20,Malaysia,22,15,0,0,0,0
2020-02-21,Malaysia,22,15,0,0,0,0
2020-02-22,Malaysia,22,15,0,0,0,0
2020-02-23,Malaysia,22,15,0,0,0,0
2020-02-24,Malaysia,22,18,0,0,3,0
2020-02-25,Malaysia,22,18,0,0,0,0
2020-02-26,Malaysia,22,18,0,0,0,0
2020-02-27,Malaysia,23,18,0,1,0,0
2020-02-28,Malaysia,23,18,0,0,0,0
2020-02-29,Malaysia,25,18,0,2,0,0
2020-03-01,Malaysia,29,18,0,4,0,0
2020-03-02,Malaysia,29,18,0,0,0,0
2020-03-03,Malaysia,36,22,0,7,4,0
2020-03-04,Malaysia,50,22,0,14,0,0
2020-03-05,Malaysia,50,22,0,0,0,0
2020-03-06,Malaysia,83,22,0,33,0,0
2020-03-07,Malaysia,93,23,0,10,1,0
2020-03-08,Malaysia,99,24,0,6,1,0
2020-03-09,Malaysia,117,24,0,18,0,0
2020-03-10,Malaysia,129,24,0,12,0,0
2020-03-11,Malaysia,149,26,0,20,2,0
2020-03-12,Malaysia,149,26,0,0,0,0
2020-03-13,Malaysia,197,26,0,48,0,0
2020-03-14,Malaysia,238,35,0,41,9,0
2020-03-15,Malaysia,428,42,0,190,7,0
2020-03-16,Malaysia,566,42,0,138,0,0
